検索結果／出荷地別取扱実績（ひらめ（国内））
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成15年1月,平成15年2月,平成15年3月,平成15年4月,平成15年5月,平成15年6月,平成15年7月,平成15年8月,平成15年9月,平成15年10月,平成15年11月,平成15年12月,
合計,数量,594204,40470,45719,44239,46393,65189,58046,51632,33673,35376,66377,45621,61469,
合計,金額,1095744897,90893109,97531856,96342165,88113823,95485101,83466935,83637409,63985184,70630443,97567120,89745453,138346299,
合計,平均価格,1844,2246,2133,2178,1899,1465,1438,1620,1900,1997,1470,1967,2251,
北海道,数量,43772,336,848,88,1086,4639,4928,2800,1866,918,5228,10277,10758,
北海道,金額,74229386,619640,1445643,121555,993661,4157644,6047755,4706275,4167794,2043413,11060057,18318536,20547413,
北海道,平均価格,1696,1844,1705,1381,915,896,1227,1681,2234,2226,2116,1782,1910,
青森,数量,122785,3453,2126,3348,6175,16804,14738,15459,10178,8568,32415,4605,4916,
青森,金額,150634944,6696118,2355082,3817993,8794161,23200764,20736657,19269125,12819158,11291505,25783795,7376316,8494270,
青森,平均価格,1227,1939,1108,1140,1424,1381,1407,1246,1259,1318,795,1602,1728,
岩手,数量,8891,480,43,47,70,976,846,546,434,860,2874,1125,590,
岩手,金額,17627111,1035643,59787,94354,109155,1315806,1173507,923094,1074100,2271404,5717378,2386213,1466670,
岩手,平均価格,1983,2158,1390,2008,1559,1348,1387,1691,2475,2641,1989,2121,2486,
宮城,数量,12536,642,502,484,359,901,2066,3385,1100,1345,752,509,491,
宮城,金額,44421517,3296917,3045154,3251903,2530238,3100705,4459252,7875774,4203120,4604397,2960786,2149562,2943709,
宮城,平均価格,3544,5135,6066,6719,7048,3441,2158,2327,3821,3423,3937,4223,5995,
秋田,数量,459,12,9,10,42,273,69,0,0,44,0,0,0,
秋田,金額,545189,38515,16821,10500,70193,308524,84676,0,0,15960,0,0,0,
秋田,平均価格,1188,3210,1869,1050,1671,1130,1227,-,-,363,-,-,-,
山形,数量,337,0,10,0,0,40,44,0,0,0,60,183,0,
山形,金額,240499,0,21420,0,0,34388,23153,0,0,0,62835,98703,0,
山形,平均価格,714,-,2142,-,-,860,526,-,-,-,1047,539,-,
福島,数量,30291,1385,1323,2159,1327,2930,6280,2749,740,2132,2980,3076,3210,
福島,金額,64087713,2746102,2751234,5043593,2556921,4431992,9374950,4630107,1842955,5098195,8545384,8317208,8749072,
福島,平均価格,2116,1983,2080,2336,1927,1513,1493,1684,2490,2391,2868,2704,2726,
茨城,数量,36749,1476,586,271,2230,3565,8723,5782,2930,3046,2305,2635,3200,
茨城,金額,77175098,3656031,1314795,704189,3979635,5890994,12606059,9947763,9104720,8201802,5674364,6754165,9340581,
茨城,平均価格,2100,2477,2244,2598,1785,1652,1445,1720,3107,2693,2462,2563,2919,
埼玉,数量,5082,44,4,0,0,962,3475,241,46,28,156,107,19,
埼玉,金額,4473322,74856,10385,0,0,937206,2840017,212119,56642,30983,168995,121749,20370,
埼玉,平均価格,880,1701,2596,-,-,974,817,880,1231,1107,1083,1138,1072,
千葉,数量,48408,1666,1850,2979,10597,9922,3026,4041,1912,2618,2289,2078,5430,
千葉,金額,113509703,5252988,5292411,9587581,24736652,17848255,4326317,7472479,5075165,7065334,5758027,5183148,15911346,
千葉,平均価格,2345,3153,2861,3218,2334,1799,1430,1849,2654,2699,2516,2494,2930,
東京,数量,155003,14055,12171,15951,11667,15437,10552,11550,11763,12094,9961,10157,19645,
東京,金額,289108451,27219040,23372330,28237862,20792830,22128415,17392305,20409375,21519874,23979886,22023339,22174216,39858979,
東京,平均価格,1865,1937,1920,1770,1782,1433,1648,1767,1829,1983,2211,2183,2029,
神奈川,数量,953,55,45,77,46,51,9,10,19,52,119,396,74,
神奈川,金額,1340886,69479,59545,162710,94500,46011,11130,14113,46358,176397,221392,364459,74792,
神奈川,平均価格,1407,1263,1323,2113,2054,902,1237,1411,2440,3392,1860,920,1011,
新潟,数量,1397,21,33,0,170,688,98,44,57,39,121,44,82,
新潟,金額,1720862,31931,61688,0,321136,784729,66940,43555,59736,43776,136859,71033,99479,
新潟,平均価格,1232,1521,1869,-,1889,1141,683,990,1048,1122,1131,1614,1213,
富山,数量,238,0,0,0,0,0,0,0,0,214,0,0,24,
富山,金額,178245,0,0,0,0,0,0,0,0,131246,0,0,46999,
富山,平均価格,749,-,-,-,-,-,-,-,-,613,-,-,1958,
石川,数量,3562,221,652,104,291,401,755,170,42,69,230,468,159,
石川,金額,6025064,333075,1355210,253799,494071,471253,949325,269683,84390,138801,341586,1015424,318447,
石川,平均価格,1691,1507,2079,2440,1698,1175,1257,1586,2009,2012,1485,2170,2003,
静岡,数量,215,4,0,33,9,63,7,0,0,0,3,27,69,
静岡,金額,457218,16380,0,63064,19320,93135,10416,0,0,0,945,52658,201300,
静岡,平均価格,2127,4095,-,1911,2147,1478,1488,-,-,-,315,1950,2917,
愛知,数量,50,0,0,0,0,0,0,0,0,0,0,50,0,
愛知,金額,21851,0,0,0,0,0,0,0,0,0,0,21851,0,
愛知,平均価格,437,-,-,-,-,-,-,-,-,-,-,437,-,
三重,数量,13235,165,44,115,648,1198,1206,1388,1105,1223,2933,501,2709,
三重,金額,8509768,263977,96779,251372,582600,847489,719415,874014,689658,673888,1591566,213686,1705324,
