検索結果／出荷地別取扱実績（活ひらめ）
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成22年1月,平成22年2月,平成22年3月,平成22年4月,平成22年5月,平成22年6月,平成22年7月,平成22年8月,平成22年9月,平成22年10月,平成22年11月,平成22年12月,
合計,数量,1190886,120008,104709,113367,90883,82457,80635,82352,81148,86456,95121,105574,148176,
合計,金額,2115834368,209174187,189260884,189788953,160912057,140072890,110496285,124429570,149751697,179878794,195486355,199293750,267288946,
合計,平均価格,1777,1743,1807,1674,1771,1699,1370,1511,1845,2081,2055,1888,1804,
北海道,数量,4378,61,0,0,10,10,179,86,29,321,1312,2119,251,
北海道,金額,10431331,180570,0,0,11855,7980,125666,134057,84295,1159225,3619378,4636296,472009,
北海道,平均価格,2383,2960,-,-,1186,798,702,1559,2907,3611,2759,2188,1881,
青森,数量,66005,2175,1566,313,628,3582,8641,7410,4249,2320,6448,12068,16605,
青森,金額,156231678,7176700,2688113,1080880,1845077,6744785,10448087,11554194,11025202,7560851,22031380,32310666,41765743,
青森,平均価格,2367,3300,1717,3453,2938,1883,1209,1559,2595,3259,3417,2677,2515,
岩手,数量,868,39,7,1,3,106,148,46,52,65,126,132,143,
岩手,金額,1612209,96443,16581,5040,5775,159682,199212,61964,137517,242037,260079,199414,228465,
岩手,平均価格,1857,2473,2369,5040,1925,1506,1346,1347,2645,3724,2064,1511,1598,
宮城,数量,51030,3287,1449,1033,1437,3037,5380,4996,2407,4111,8327,6923,8643,
宮城,金額,156119228,12478347,6132684,4052630,4661971,6297023,7202368,8546319,6873300,17218276,32262728,23381239,27012343,
宮城,平均価格,3059,3796,4232,3923,3244,2073,1339,1711,2856,4188,3874,3377,3125,
秋田,数量,3383,149,63,151,952,1105,242,52,11,54,225,287,92,
秋田,金額,9557197,374319,284802,529977,3159860,2969852,366501,82646,32865,207575,638790,691954,218056,
秋田,平均価格,2825,2512,4521,3510,3319,2688,1514,1589,2988,3844,2839,2411,2370,
山形,数量,266,0,0,266,0,0,0,0,0,0,0,0,0,
山形,金額,244687,0,0,244687,0,0,0,0,0,0,0,0,0,
山形,平均価格,920,-,-,920,-,-,-,-,-,-,-,-,-,
福島,数量,14074,621,116,15,53,196,723,2425,2634,1544,2146,2526,1075,
福島,金額,33337032,1995874,438366,36530,162792,279648,655644,3947250,6161843,5340594,6496875,5396863,2424753,
福島,平均価格,2369,3214,3779,2435,3072,1427,907,1628,2339,3459,3027,2137,2256,
茨城,数量,43301,6595,2274,414,322,1884,7597,7016,5085,5349,2202,1857,2706,
茨城,金額,87383457,15926544,6429898,1226657,992361,2884588,6630055,8809779,11980970,17037538,6859852,3360010,5245205,
茨城,平均価格,2018,2415,2828,2963,3082,1531,873,1256,2356,3185,3115,1809,1938,
千葉,数量,96038,11871,12892,16260,10508,8160,6303,4687,3703,4768,4699,3003,9184,
千葉,金額,227678720,30775253,41577706,42813406,26319675,14588357,8903248,6201651,6034910,12604462,9392159,6459183,22008710,
千葉,平均価格,2371,2592,3225,2633,2505,1788,1413,1323,1630,2644,1999,2151,2396,
東京,数量,380308,40324,37562,39844,32498,21774,16387,22208,31364,29984,27579,34267,46517,
東京,金額,598469222,59172200,54191817,54809199,50049324,37137589,26019010,34572444,53653591,53278391,45701054,56468372,73416231,
東京,平均価格,1574,1467,1443,1376,1540,1706,1588,1557,1711,1777,1657,1648,1578,
神奈川,数量,15999,1954,2064,4290,1870,933,918,1470,254,345,797,717,387,
神奈川,金額,37640022,5149763,6756013,10180137,3970781,1487180,1443123,2339485,521422,1070816,1760510,1900008,1060784,
神奈川,平均価格,2353,2635,3273,2373,2123,1594,1572,1591,2053,3104,2209,2650,2741,
新潟,数量,8753,100,173,250,1013,4135,2584,53,5,2,28,256,154,
新潟,金額,13438900,215536,463324,538915,2294049,6319780,2926160,50574,7245,4200,69827,328023,221267,
新潟,平均価格,1535,2155,2678,2156,2265,1528,1132,954,1449,2100,2494,1281,1437,
富山,数量,75,59,0,0,0,1,0,0,0,0,0,6,9,
富山,金額,162450,140032,0,0,0,2898,0,0,0,0,0,4872,14648,
富山,平均価格,2166,2373,-,-,-,2898,-,-,-,-,-,812,1628,
石川,数量,209,0,9,0,16,55,108,6,0,0,0,15,0,
石川,金額,300568,0,36572,0,29107,87803,127136,5775,0,0,0,14175,0,
石川,平均価格,1438,-,4064,-,1819,1596,1177,963,-,-,-,945,-,
静岡,数量,494,70,67,183,2,32,0,0,0,0,21,64,55,
静岡,金額,1390331,158322,227179,500435,4158,39262,0,0,0,0,81449,226361,153165,
静岡,平均価格,2814,2262,3391,2735,2079,1227,-,-,-,-,3879,3537,2785,
愛知,数量,162232,15405,13948,14710,13393,15388,10319,11881,10519,12102,14278,13711,16578,
愛知,金額,252027957,21673642,19521995,20509886,22474811,25429045,16151217,18036051,17942149,21333347,23166618,21340831,24448365,
愛知,平均価格,1554,1407,1400,1394,1678,1653,1565,1518,1706,1763,1623,1556,1475,
三重,数量,32616,4363,4273,4681,3263,2378,1257,1464,1519,2407,2174,2881,1956,
三重,金額,57511753,7798749,7739077,7252853,6083083,4490703,2354067,2557311,2871087,4534034,3949490,4601292,3280007,
三重,平均価格,1763,1787,1811,1549,1864,1888,1873,1747,1890,1884,1817,1597,1677,
京都,数量,321,0,8,46,20,162,76,2,3,0,1,3,0,
京都,金額,367224,0,10647,51450,29432,201354,63221,1974,5576,0,378,3192,0,
京都,平均価格,1144,-,1331,1118,1472,1243,832,987,1859,-,378,1064,-,
大阪,数量,12284,1445,2059,1370,746,913,392,377,869,648,847,1136,1482,
大阪,金額,20817592,2591699,3550786,2230959,1244943,1375887,559032,663202,1553807,1196675,1488868,1908350,2453384,
大阪,平均価格,1695,1794,1725,1628,1669,1507,1426,1759,1788,1847,1758,1680,1655,
兵庫,数量,38304,3265,3143,3864,2807,3257,2034,2950,1226,3539,4601,4851,2767,
兵庫,金額,62009358,4843132,4484137,5262289,4852218,5367903,3253398,4628985,2160393,6211051,7785640,8099451,5060761,
兵庫,平均価格,1619,1483,1427,1362,1729,1648,1600,1569,1762,1755,1692,1670,1829,
