検索結果／出荷地別取扱実績（活ひらめ）,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成29年1月,平成29年2月,平成29年3月,平成29年4月,平成29年5月,平成29年6月,平成29年7月,平成29年8月,平成29年9月,平成29年10月,平成29年11月,平成29年12月
合計,数量,945870,88041,80279,84341,70727,70360,68793,67193,70733,74056,77644,77344,116359
合計,金額,2118072119,221759047,189941449,173478353,143220650,125952327,113385957,118662315,158740577,181743256,203855396,192397424,294935368
合計,平均価格,2239,2519,2366,2057,2025,1790,1648,1766,2244,2454,2626,2488,2535
北海道,数量,9368,30,0,0,9,41,899,1160,1592,706,3444,1247,240
北海道,金額,27068460,92070,0,0,15066,103885,1040482,1649115,4741275,2310628,11915666,4171400,1028873
北海道,平均価格,2889,3069,-,-,1674,2534,1157,1422,2978,3273,3460,3345,4287
青森,数量,52864,2971,880,762,1516,3147,9754,8543,2771,2156,1547,6980,11837
青森,金額,144783593,14782365,4611773,3036465,4518561,6769567,14053162,14310067,8374137,6770481,5029479,20826058,41701478
青森,平均価格,2739,4976,5241,3985,2981,2151,1441,1675,3022,3140,3251,2984,3523
岩手,数量,944,0,0,0,0,0,12,41,128,349,283,122,9
岩手,金額,2436548,0,0,0,0,0,11923,43967,348062,983565,783427,247827,17777
岩手,平均価格,2581,-,-,-,-,-,994,1072,2719,2818,2768,2031,1975
宮城,数量,90245,2963,1010,1093,2109,9187,14545,8035,5439,14521,12897,8056,10390
宮城,金額,249629352,14329366,4506616,3911931,5870071,10790020,18160097,11788887,16573142,48912118,51491570,28552741,34742793
宮城,平均価格,2766,4836,4462,3579,2783,1174,1249,1467,3047,3368,3993,3544,3344
秋田,数量,2824,92,25,52,758,578,231,65,0,0,312,478,233
秋田,金額,8096847,552334,123444,151124,2045358,1230385,399816,119373,0,0,1228252,1524614,722147
秋田,平均価格,2867,6004,4938,2906,2698,2129,1731,1837,-,-,3937,3190,3099
山形,数量,5,0,0,0,5,0,0,0,0,0,0,0,0
