検索結果／出荷地別取扱実績（ひらめ（国内））
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成31年1月,平成31年2月,平成31年3月,平成31年4月,令和元年5月,令和元年6月,令和元年7月,令和元年8月,令和元年9月,令和元年10月,令和元年11月,令和元年12月,
合計,数量,872262,61043,57860,56807,58292,102865,146121,96496,45596,34660,52482,60114,99926,
合計,金額,1214599676,101982630,102557703,99724979,88239557,105847886,132265364,115462850,81105575,65758173,87468628,90747564,143438767,
合計,平均価格,1392,1671,1773,1756,1514,1029,905,1197,1779,1897,1667,1510,1435,
北海道,数量,94748,5507,564,517,563,6993,11698,9082,4631,7174,12557,7979,27483,
北海道,金額,107939489,8072035,796805,876894,707323,5629430,10137283,9940730,7858772,10512824,18983820,10610938,23812635,
北海道,平均価格,1139,1466,1413,1696,1256,805,867,1095,1697,1465,1512,1330,866,
青森,数量,176193,16581,6255,3788,9245,26187,31568,17227,7117,9739,14436,16460,17590,
青森,金額,237700682,26807911,11924889,6892856,14171942,27484927,32216296,22085626,13812422,17803715,20699190,19771173,24029735,
青森,平均価格,1349,1617,1906,1820,1533,1050,1021,1282,1941,1828,1434,1201,1366,
岩手,数量,8829,743,208,131,72,273,1074,296,502,482,1650,1994,1404,
岩手,金額,10418925,1174077,253465,150417,71723,231755,755383,336637,845538,789511,1594384,2449457,1766578,
岩手,平均価格,1180,1580,1219,1148,996,849,703,1137,1684,1638,966,1228,1258,
宮城,数量,179923,4385,2820,1366,1546,22562,63642,51068,12281,2327,4960,4725,8241,
宮城,金額,199389987,8469653,5054910,2449874,2363441,19698208,50882861,54475619,19307630,5036099,8437497,7904188,15310007,
宮城,平均価格,1108,1932,1793,1793,1529,873,800,1067,1572,2164,1701,1673,1858,
秋田,数量,1329,0,0,0,202,948,97,16,0,35,0,0,31,
秋田,金額,2553272,0,0,0,500981,1667736,165791,27518,0,62381,0,0,128865,
秋田,平均価格,1921,-,-,-,2480,1759,1709,1720,-,1782,-,-,4157,
山形,数量,698,0,4,23,192,288,99,12,0,0,11,46,23,
山形,金額,779934,0,7452,33404,240214,278835,65384,10368,0,0,19527,78160,46590,
山形,平均価格,1117,-,1863,1452,1251,968,660,864,-,-,1775,1699,2026,
福島,数量,131568,11887,11063,6444,9900,10970,16213,8264,7288,6473,9251,15425,18390,
福島,金額,182472471,16973663,16341295,10047301,12502421,9725949,13345974,9714650,12472987,13219796,17296809,23563179,27268447,
福島,平均価格,1387,1428,1477,1559,1263,887,823,1176,1711,2042,1870,1528,1483,
茨城,数量,69467,3831,5842,6010,7874,10578,9057,2465,5392,2920,3417,5624,6457,
茨城,金額,89014071,5047926,8359427,9441634,9592559,9208071,6931636,2601687,8752473,4753152,5284140,9007797,10033569,
茨城,平均価格,1281,1318,1431,1571,1218,870,765,1055,1623,1628,1546,1602,1554,
千葉,数量,73639,4244,5568,14840,14353,13987,4111,2091,2868,973,955,1773,7876,
千葉,金額,100337186,6325733,9525778,23087298,21246461,14438871,3446622,2198900,4110775,1689578,1453961,2592216,10220993,
千葉,平均価格,1363,1491,1711,1556,1480,1032,838,1052,1433,1736,1522,1462,1298,
東京,数量,59628,4268,4348,3694,5206,6476,6999,4380,4144,3100,3892,4659,8462,
東京,金額,121219653,9663180,9199287,9149323,9775147,10938183,9659133,9157947,9087959,7258830,9053882,9924352,18352430,
東京,平均価格,2033,2264,2116,2477,1878,1689,1380,2091,2193,2342,2326,2130,2169,
神奈川,数量,912,24,74,265,177,53,32,53,57,147,5,16,9,
神奈川,金額,1599514,54799,165485,488574,317665,127778,45630,55437,67840,233733,6296,20585,15692,
神奈川,平均価格,1754,2283,2236,1844,1795,2411,1426,1046,1190,1590,1259,1287,1744,
新潟,数量,2456,0,63,30,1032,1206,58,0,0,48,11,8,0,
新潟,金額,1938305,0,67986,35780,966568,773428,21567,0,0,55080,11243,6653,0,
新潟,平均価格,789,-,1079,1193,937,641,372,-,-,1148,1022,832,-,
富山,数量,26,14,0,0,0,0,12,0,0,0,0,0,0,
富山,金額,30985,27162,0,0,0,0,3823,0,0,0,0,0,0,
富山,平均価格,1192,1940,-,-,-,-,319,-,-,-,-,-,-,
石川,数量,195,34,12,20,15,48,7,0,6,6,9,11,27,
石川,金額,122121,17356,12301,15163,11659,33674,4255,0,3240,3013,6934,3218,11308,
石川,平均価格,626,510,1025,758,777,702,608,-,540,502,770,293,419,
静岡,数量,8305,160,691,811,765,622,640,680,634,614,691,709,1288,
静岡,金額,21104354,457068,1813757,2122968,1965582,1533558,1583813,1659138,1566967,1522920,1719987,1820884,3337712,
