検索結果／出荷地別取扱実績（活ひらめ）
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成31年1月,平成31年2月,平成31年3月,平成31年4月,令和元年5月,令和元年6月,令和元年7月,令和元年8月,令和元年9月,令和元年10月,令和元年11月,令和元年12月,
合計,数量,836218,76077,66657,70681,60324,57915,57023,61387,72314,67273,67784,71235,107548,
合計,金額,1879021185,183080763,170555227,161923448,132814382,106717528,92229445,112589921,159871310,163410024,176046271,169477243,250305623,
合計,平均価格,2247,2407,2559,2291,2202,1843,1617,1834,2211,2429,2597,2379,2327,
北海道,数量,8046,104,4,1,15,8,20,867,797,691,1864,2261,1414,
北海道,金額,23500539,290454,6804,594,27346,7398,13025,1396538,2128916,1964463,5961951,6669021,5034029,
北海道,平均価格,2921,2793,1701,594,1823,925,651,1611,2671,2843,3198,2950,3560,
青森,数量,51344,6503,2042,1375,2927,5137,8458,6058,2208,1663,2800,4204,7969,
青森,金額,143649158,20318448,9214509,5496669,9276402,9729788,13802714,11699878,6682373,5870335,10562937,13760019,27235086,
青森,平均価格,2798,3124,4512,3998,3169,1894,1632,1931,3026,3530,3772,3273,3418,
岩手,数量,353,0,0,0,0,0,0,0,15,2,44,145,147,
岩手,金額,1012146,0,0,0,0,0,0,0,29419,4914,118574,440814,418425,
岩手,平均価格,2867,-,-,-,-,-,-,-,1961,2457,2695,3040,2846,
宮城,数量,72887,3045,1111,1422,1188,4861,10282,8357,6997,11170,10836,6372,7246,
宮城,金額,224075394,9439050,4295221,5352566,3503137,6781245,11862916,13606217,21298173,44312568,49596215,25581980,28446106,
宮城,平均価格,3074,3100,3866,3764,2949,1395,1154,1628,3044,3967,4577,4015,3926,
秋田,数量,4745,320,56,296,1083,1098,892,126,17,2,115,475,265,
秋田,金額,16419303,1611057,417528,1447609,4100296,2938304,1467218,227642,66150,9299,539559,2312411,1282230,
秋田,平均価格,3460,5035,7456,4891,3786,2676,1645,1807,3891,4650,4692,4868,4839,
山形,数量,786,0,0,109,331,98,0,0,0,0,0,101,147,
山形,金額,1967167,0,0,290822,802979,198419,0,0,0,0,0,312316,362631,
山形,平均価格,2503,-,-,2668,2426,2025,-,-,-,-,-,3092,2467,
福島,数量,19850,2250,389,14,103,3014,3144,1844,3924,1646,1298,845,1379,
福島,金額,41488813,5431065,1047038,50500,128909,2990553,3430729,2986669,8362599,4895443,4437024,2614398,5113886,
福島,平均価格,2090,2414,2692,3607,1252,992,1091,1620,2131,2974,3418,3094,3708,
茨城,数量,48021,6224,4423,4158,1521,1177,2654,3819,7527,4406,1485,3777,6850,
茨城,金額,97173771,11049269,9989385,7047184,2518863,1380080,1976990,6005478,17981777,10777545,5035554,10762410,12649236,
茨城,平均価格,2024,1775,2259,1695,1656,1173,745,1573,2389,2446,3391,2849,1847,
千葉,数量,60744,4417,10429,16391,10812,3981,1399,1688,2977,2214,1107,1722,3607,
千葉,金額,149390407,12753904,32914720,39413077,22801131,6349761,1622861,2245308,7064878,5348163,3496141,4930605,10449858,
千葉,平均価格,2459,2887,3156,2405,2109,1595,1160,1330,2373,2416,3158,2863,2897,
東京,数量,355780,38149,28340,24617,22186,23277,19581,24854,30566,28910,30753,30405,54142,
東京,金額,753198445,86887555,63860084,54836342,48419139,48066361,39344667,50661784,63797605,59795220,63282878,62285929,111960881,
東京,平均価格,2117,2278,2253,2228,2182,2065,2009,2038,2087,2068,2058,2049,2068,
神奈川,数量,22031,2430,2736,3962,3204,1281,455,1292,1350,2237,1053,1194,837,
神奈川,金額,45960811,4664957,6483472,8169547,5645363,1634522,423707,1879706,3772378,4847314,3061391,3064000,2314454,
神奈川,平均価格,2086,1920,2370,2062,1762,1276,931,1455,2794,2167,2907,2566,2765,
