検索結果／出荷地別取扱実績（活ひらめ）
（単位：ｋｇ・円）
出荷地,出荷地,合計,令和02年1月,令和02年2月,令和02年3月,令和02年4月,令和02年5月,令和02年6月,令和02年7月,令和02年8月,令和02年9月,令和02年10月,令和02年11月,令和02年12月,
合計,数量,665357,78567,76094,60545,27073,29388,44266,47636,48761,51180,59008,65455,77384,
合計,金額,1378503445,178749218,164730064,111976547,40981677,44595551,65344958,76883802,96832652,127551760,143023786,139622136,188211294,
合計,平均価格,2072,2275,2165,1849,1514,1517,1476,1614,1986,2492,2424,2133,2432,
北海道,数量,6381,573,21,1,13,52,113,125,103,905,2147,1752,576,
北海道,金額,16758205,1691990,39388,2268,11340,44895,101293,132980,178600,3231210,6432889,3493293,1398059,
北海道,平均価格,2626,2953,1876,2268,872,863,896,1064,1734,3570,2996,1994,2427,
青森,数量,36708,6597,1313,1780,851,1557,6036,4829,2801,1101,3129,3428,3286,
青森,金額,99384506,23188719,6716075,5899786,1441643,2275870,7590982,7119478,7627094,4967604,12443272,9408002,10705981,
青森,平均価格,2707,3515,5115,3314,1694,1462,1258,1474,2723,4512,3977,2744,3258,
岩手,数量,79,53,2,0,0,24,0,0,0,0,0,0,0,
岩手,金額,163826,148209,551,0,0,15066,0,0,0,0,0,0,0,
岩手,平均価格,2074,2796,276,-,-,628,-,-,-,-,-,-,-,
宮城,数量,61725,4449,537,607,965,2888,9183,10857,6550,6432,7076,6601,5580,
宮城,金額,155957970,14827177,2743166,1708767,1356251,3714468,10201536,15249047,15499937,30151331,24139162,17143901,19223227,
宮城,平均価格,2527,3333,5108,2815,1405,1286,1111,1405,2366,4688,3411,2597,3445,
秋田,数量,4472,305,40,205,114,776,1117,79,145,26,666,452,547,
秋田,金額,14375674,1788837,145756,688771,221627,1049887,1436363,129817,516963,95645,3274303,2094122,2933583,
秋田,平均価格,3215,5865,3644,3360,1944,1353,1286,1643,3565,3679,4916,4633,5363,
山形,数量,729,169,67,11,0,0,0,0,0,0,0,4,478,
山形,金額,2288368,482089,232340,16675,0,0,0,0,0,0,0,5476,1551788,
山形,平均価格,3139,2853,3468,1516,-,-,-,-,-,-,-,1369,3246,
福島,数量,6647,1319,375,135,102,341,327,113,280,659,1334,446,1216,
福島,金額,17658422,3340232,951114,293921,117555,292080,288673,175565,666966,2535512,3937060,910047,4149697,
福島,平均価格,2657,2532,2536,2177,1153,857,883,1554,2382,3848,2951,2040,3413,
茨城,数量,46235,2851,5328,2788,684,610,1780,4060,6180,3263,2246,8717,7728,
茨城,金額,79669382,4302680,8641329,3378562,590905,551324,1603816,5070853,11006624,9773369,6042902,13400981,15306037,
茨城,平均価格,1723,1509,1622,1212,864,904,901,1249,1781,2995,2691,1537,1981,
千葉,数量,65816,5670,12819,16677,7134,5308,1258,1613,2629,1491,2265,2989,5963,
千葉,金額,141962771,16055099,34919949,31251195,8771845,5892659,1467863,2169914,5317347,4358237,6005859,7420141,18332663,
千葉,平均価格,2157,2832,2724,1874,1230,1110,1167,1345,2023,2923,2652,2482,3074,
東京,数量,282942,32847,28063,18791,8632,13864,19212,19804,21860,28051,28224,23676,39918,
東京,金額,555210805,67146368,54659624,36485203,15992938,24945769,34123145,36088900,41045239,53024019,56067223,48471291,87161086,
東京,平均価格,1962,2044,1948,1942,1853,1799,1776,1822,1878,1890,1987,2047,2184,
神奈川,数量,14267,1401,2122,3554,843,507,694,581,837,1061,1074,855,738,
神奈川,金額,30274643,3215787,5149191,5016808,891721,540515,651883,747292,2225035,3936722,3308480,2408476,2182733,
神奈川,平均価格,2122,2295,2427,1412,1058,1066,939,1286,2658,3710,3081,2817,2958,
新潟,数量,2374,265,164,221,412,1019,233,0,0,0,5,1,54,
新潟,金額,3125482,584192,284211,366983,444550,1085198,234304,0,0,0,8218,648,117178,
新潟,平均価格,1317,2204,1733,1661,1079,1065,1006,-,-,-,1644,648,2170,
石川,数量,25,0,0,5,0,4,8,5,0,0,0,0,3,
石川,金額,30899,0,0,8856,0,6329,6242,6880,0,0,0,0,2592,
石川,平均価格,1236,-,-,1771,-,1582,780,1376,-,-,-,-,864,
福井,数量,58,58,0,0,0,0,0,0,0,0,0,0,0,
福井,金額,130086,130086,0,0,0,0,0,0,0,0,0,0,0,
福井,平均価格,2243,2243,-,-,-,-,-,-,-,-,-,-,-,
静岡,数量,1532,3,0,48,0,0,0,0,230,640,611,0,0,
静岡,金額,3194424,3791,0,129600,0,0,0,0,150217,1608335,1302481,0,0,
静岡,平均価格,2085,1264,-,2700,-,-,-,-,653,2513,2132,-,-,
愛知,数量,351,162,0,7,9,0,21,11,10,6,13,11,101,
愛知,金額,998008,448470,0,11535,9698,0,25207,13565,15379,19872,36871,32875,384536,
愛知,平均価格,2843,2768,-,1648,1078,-,1200,1233,1538,3312,2836,2989,3807,
三重,数量,9485,2093,2546,1669,720,314,340,266,269,213,363,320,372,
三重,金額,18761434,4374192,5347936,2794834,997880,514057,589602,606793,608285,468634,875549,749542,834130,
三重,平均価格,1978,2090,2101,1675,1386,1637,1734,2281,2261,2200,2412,2342,2242,
京都,数量,995,3,495,2,0,0,0,0,0,0,1,23,471,
京都,金額,1946947,3586,1273234,1166,0,0,0,0,0,0,1188,37131,630642,
京都,平均価格,1957,1195,2572,583,-,-,-,-,-,-,1188,1614,1339,
大阪,数量,12198,3549,4272,2358,2019,0,0,0,0,0,0,0,0,
大阪,金額,18702062,5620604,6648651,3418338,3014469,0,0,0,0,0,0,0,0,
大阪,平均価格,1533,1584,1556,1450,1493,-,-,-,-,-,-,-,-,
兵庫,数量,4314,1068,1529,314,34,66,17,29,39,97,282,327,512,
兵庫,金額,18650547,4532713,6543255,1534671,123175,87610,26103,77685,93808,368992,1402869,1491914,2367752,
兵庫,平均価格,4323,4244,4279,4887,3623,1327,1535,2679,2405,3804,4975,4562,4625,
和歌山,数量,358,0,331,27,0,0,0,0,0,0,0,0,0,
和歌山,金額,747920,0,692959,54961,0,0,0,0,0,0,0,0,0,
和歌山,平均価格,2089,-,2094,2036,-,-,-,-,-,-,-,-,-,
島根,数量,1497,233,124,0,0,0,0,4,0,28,887,126,95,
島根,金額,3471024,640925,351140,0,0,0,0,7117,0,100764,1974564,191929,204585,
島根,平均価格,2319,2751,2832,-,-,-,-,1779,-,3599,2226,1523,2154,
山口,数量,2,2,0,0,0,0,0,0,0,0,0,0,0,
山口,金額,5832,5832,0,0,0,0,0,0,0,0,0,0,0,
山口,平均価格,2916,2916,-,-,-,-,-,-,-,-,-,-,-,
徳島,数量,879,167,472,140,0,28,0,2,0,0,0,2,68,
徳島,金額,2579948,541112,1347105,318343,0,41936,0,2657,0,0,0,2430,326365,
徳島,平均価格,2935,3240,2854,2274,-,1498,-,1329,-,-,-,1215,4799,
愛媛,数量,58861,7866,6518,4819,2395,1771,2340,3098,2933,3745,4581,12971,5824,
愛媛,金額,110533251,13714186,11680786,8465222,3983685,3067770,4196226,5528568,5241632,6910582,8489827,27230244,12024523,
愛媛,平均価格,1878,1743,1792,1757,1663,1732,1793,1785,1787,1845,1853,2099,2065,
福岡,数量,41597,6100,6967,5459,1991,196,1529,2099,3853,3402,3974,2674,3353,
福岡,金額,69060108,9810718,10910425,8486894,2733548,317465,2632005,3578551,6517281,5832127,6926680,4904437,6409977,
福岡,平均価格,1660,1608,1566,1555,1373,1620,1721,1705,1691,1714,1743,1834,1912,
長崎,数量,3261,538,1704,895,85,0,0,0,0,0,0,6,33,
長崎,金額,8027176,1505242,4736953,1544778,98378,0,0,0,0,0,0,17852,123973,
長崎,平均価格,2462,2798,2780,1726,1157,-,-,-,-,-,-,2975,3757,
熊本,数量,729,105,215,0,0,0,0,0,0,0,9,0,400,
熊本,金額,2484320,320230,502674,0,0,0,0,0,0,0,20682,0,1640734,
熊本,平均価格,3408,3050,2338,-,-,-,-,-,-,-,2298,-,4102,
大分,数量,840,121,70,32,70,63,58,61,42,60,121,74,68,
大分,金額,2349405,326152,212252,98410,180469,152653,169715,178140,122245,168805,333707,207404,199453,
大分,平均価格,2797,2695,3032,3075,2578,2423,2926,2920,2911,2813,2758,2803,2933,
