検索結果／出荷地別取扱実績（活ひらめ）,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,
出荷地,出荷地,合計,令和03年1月,令和03年2月,令和03年3月,令和03年4月,令和03年5月,令和03年6月
合計,数量,263267,40055,44739,55484,46385,35433,41171
合計,金額,497584604,85926499,97873364,105528533,81515917,62850745,63889546
合計,平均価格,1890,2145,2188,1902,1757,1774,1552
北海道,数量,113,20,0,0,30,7,56
北海道,金額,110185,19904,0,0,32962,8661,48658
北海道,平均価格,975,995,-,-,1099,1237,869
青森,数量,17101,4129,1289,631,2128,3078,5846
青森,金額,30663494,10873506,4064117,1448044,3738981,3810641,6728205
青森,平均価格,1793,2633,3153,2295,1757,1238,1151
宮城,数量,12849,1954,493,421,725,2092,7164
宮城,金額,19777531,5403639,1663070,1076586,1263160,2527959,7843117
宮城,平均価格,1539,2765,3373,2557,1742,1208,1095
秋田,数量,2381,158,85,196,310,583,1049
秋田,金額,4888158,738083,330609,679934,655713,1041612,1442207
秋田,平均価格,2053,4671,3890,3469,2115,1787,1375
山形,数量,294,0,71,66,157,0,0
山形,金額,502759,0,143088,98972,260699,0,0
山形,平均価格,1710,-,2015,1500,1661,-,-
福島,数量,756,226,71,13,145,182,119
福島,金額,1106893,541317,151968,19614,176417,127857,89720
福島,平均価格,1464,2395,2140,1509,1217,703,754
茨城,数量,9931,2104,2178,1110,487,495,3557
茨城,金額,11157892,2382606,3161682,1463331,584928,479002,3086343
茨城,平均価格,1124,1132,1452,1318,1201,968,868
千葉,数量,65887,6051,11988,22786,16214,6566,2282
千葉,金額,115212821,12660309,27518012,39994963,23045553,9543658,2450326
千葉,平均価格,1749,2092,2295,1755,1421,1453,1074
東京,数量,103292,17577,17905,20533,17117,13813,16347
東京,金額,217590210,36862849,38206428,43093526,36322219,30136232,32968956
東京,平均価格,2107,2097,2134,2099,2122,2182,2017
神奈川,数量,7227,563,1551,2656,1773,534,150
神奈川,金額,10965675,990511,3285129,3903223,1962753,672557,151502
神奈川,平均価格,1517,1759,2118,1470,1107,1259,1010
新潟,数量,2940,2,55,369,890,1480,144
新潟,金額,4025756,2246,123281,607397,1278139,1868182,146511
新潟,平均価格,1369,1123,2241,1646,1436,1262,1017
富山,数量,18,0,18,0,0,0,0
富山,金額,39733,0,39733,0,0,0,0
富山,平均価格,2207,-,2207,-,-,-,-
石川,数量,23,4,0,0,19,0,0
石川,金額,26222,6048,0,0,20174,0,0
石川,平均価格,1140,1512,-,-,1062,-,-
福井,数量,22,5,16,0,1,0,0
福井,金額,58212,16265,41364,0,583,0,0
福井,平均価格,2646,3253,2585,-,583,-,-
静岡,数量,155,0,37,12,30,76,0
静岡,金額,271794,0,35167,10195,26589,199843,0
静岡,平均価格,1754,-,950,850,886,2630,-
愛知,数量,433,148,218,2,3,49,13
愛知,金額,772104,205513,514546,3078,2808,34667,11492
愛知,平均価格,1783,1389,2360,1539,936,707,884
三重,数量,3457,671,1724,603,192,202,65
三重,金額,6771714,1382401,3590744,994190,321032,344750,138597
三重,平均価格,1959,2060,2083,1649,1672,1707,2132
京都,数量,908,55,0,0,361,477,15
京都,金額,1057705,98323,0,0,390245,552159,16978
京都,平均価格,1165,1788,-,-,1081,1158,1132
兵庫,数量,2051,717,896,252,81,60,45
兵庫,金額,6937068,2512042,3188329,805820,188936,172141,69800
兵庫,平均価格,3382,3504,3558,3198,2333,2869,1551
島根,数量,225,10,84,0,9,122,0
島根,金額,328307,27464,161524,0,13025,126294,0
島根,平均価格,1459,2746,1923,-,1447,1035,-
徳島,数量,106,54,44,8,0,0,0
徳島,金額,276666,165080,99890,11696,0,0,0
徳島,平均価格,2610,3057,2270,1462,-,-,-
愛媛,数量,24633,3641,4128,4291,4019,4283,4271
愛媛,金額,48218756,7246478,8029553,8240833,7750896,8400319,8550677
愛媛,平均価格,1957,1990,1945,1920,1929,1961,2002
福岡,数量,7894,1796,1724,1472,1631,1271,0
福岡,金額,15238961,3310044,3143410,2885160,3294933,2605414,0
福岡,平均価格,1930,1843,1823,1960,2020,2050,-
長崎,数量,103,0,103,0,0,0,0
長崎,金額,206701,0,206701,0,0,0,0
長崎,平均価格,2007,-,2007,-,-,-,-
熊本,数量,101,101,0,0,0,0,0
熊本,金額,281231,281231,0,0,0,0,0
熊本,平均価格,2784,2784,-,-,-,-,-
大分,数量,367,69,61,63,63,63,48
大分,金額,1098056,200640,175019,191971,185172,198797,146457
大分,平均価格,2992,2908,2869,3047,2939,3156,3051
