検索結果／出荷地別取扱実績（ひらめ（国内））,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成17年1月,平成17年2月,平成17年3月,平成17年4月,平成17年5月,平成17年6月,平成17年7月,平成17年8月,平成17年9月,平成17年10月,平成17年11月,平成17年12月
合計,数量,682001,40844,39774,39683,48907,52392,69712,44481,36722,69488,96614,67559,75825
合計,金額,1061519996,83783451,81467837,82387878,83891588,80022150,88451148,72068173,63744721,76966222,104851573,97041763,146843492
合計,平均価格,1556,2051,2048,2076,1715,1527,1269,1620,1736,1108,1085,1436,1937
北海道,数量,73618,1530,455,1357,1634,2926,18995,9865,5637,4160,7818,8284,10957
北海道,金額,130454507,2508941,852034,1204985,1383572,3201989,22093835,14418042,10110891,10618540,20327672,17816252,25917754
北海道,平均価格,1772,1640,1873,888,847,1094,1163,1462,1794,2553,2600,2151,2365
青森,数量,176641,1693,1245,1647,2988,8222,11441,3268,7594,44197,59562,21538,13246
青森,金額,131646663,3846046,1329597,1763462,3656313,12053264,14391525,5594877,7737089,24353313,31788481,13987051,11145645
青森,平均価格,745,2272,1068,1071,1224,1466,1258,1712,1019,551,534,649,841
岩手,数量,5887,129,34,47,48,89,212,11,34,364,2146,2041,732
岩手,金額,5933157,265169,45215,95792,86773,139013,313460,20549,74594,638429,1603203,1736141,914819
岩手,平均価格,1008,2056,1330,2038,1808,1562,1479,1868,2194,1754,747,851,1250
宮城,数量,4011,192,96,132,224,427,1077,411,212,192,273,278,497
宮城,金額,9190099,687141,425040,501900,659017,894301,1409009,791593,527417,571373,841935,649669,1231704
宮城,平均価格,2291,3579,4428,3802,2942,2094,1308,1926,2488,2976,3084,2337,2478
秋田,数量,2149,0,0,115,50,239,1189,84,101,265,94,7,5
秋田,金額,2468208,0,0,248210,73879,309435,1254039,88332,94844,237059,143179,3449,15782
秋田,平均価格,1149,-,-,2158,1478,1295,1055,1052,939,895,1523,493,3156
山形,数量,617,0,0,18,24,5,34,72,0,150,209,95,10
山形,金額,414846,0,0,44972,14448,4977,10616,51030,0,77679,113064,95067,2993
山形,平均価格,672,-,-,2498,602,995,312,709,-,518,541,1001,299
福島,数量,20584,2092,621,931,1299,1315,2534,1527,732,1083,2412,2837,3201
福島,金額,31089081,2897584,994324,1495518,1895640,2054998,3331005,2302633,1360644,1875366,3506338,3944909,5430122
福島,平均価格,1510,1385,1601,1606,1459,1563,1315,1508,1859,1732,1454,1391,1696
茨城,数量,46058,2971,743,550,632,3739,12304,11549,5357,1458,1369,2187,3199
茨城,金額,89547282,6109198,1776152,1465214,1417997,6121621,15914702,19255800,12320079,4394566,3856049,6051458,10864446
茨城,平均価格,1944,2056,2391,2664,2244,1637,1293,1667,2300,3014,2817,2767,3396
埼玉,数量,9463,16,10,306,766,4516,3517,0,0,0,0,0,332
埼玉,金額,10468389,11687,21000,513098,1090841,4322347,3037736,0,0,0,0,0,1471680
埼玉,平均価格,1106,730,2100,1677,1424,957,864,-,-,-,-,-,4433
千葉,数量,66801,2587,2285,5143,13092,8411,2457,3816,3013,3066,2309,7441,13181
千葉,金額,132787552,6549074,7270495,15829443,24068454,15980403,3702243,6894571,6697062,6808073,4887131,12254586,21846017
千葉,平均価格,1988,2532,3182,3078,1838,1900,1507,1807,2223,2221,2117,1647,1657
東京,数量,153731,10828,10390,11387,11522,12217,9966,11255,12231,13072,16099,16397,18367
東京,金額,274368786,21473543,19504574,21470516,20530500,20899896,16718208,19098869,21848992,24233211,27488963,27092607,34008907
東京,平均価格,1785,1983,1877,1886,1782,1711,1678,1697,1786,1854,1707,1652,1852
神奈川,数量,2453,265,339,689,447,44,29,7,12,44,122,388,67
神奈川,金額,5480631,385046,557742,1706652,847340,74324,32855,8768,7340,29118,127629,1476448,227369
神奈川,平均価格,2234,1453,1645,2477,1896,1689,1133,1253,612,662,1046,3805,3394
新潟,数量,1754,84,90,3,93,926,281,139,68,10,13,35,12
新潟,金額,1926239,106452,103292,2100,119072,1187680,190031,92695,36641,7749,21946,42159,16422
新潟,平均価格,1098,1267,1148,700,1280,1283,676,667,539,775,1688,1205,1369
富山,数量,490,8,0,0,0,6,0,2,0,0,0,0,474
富山,金額,758047,36593,0,0,0,2205,0,5121,0,0,0,0,714128
富山,平均価格,1547,4574,-,-,-,368,-,2561,-,-,-,-,1507
石川,数量,1519,141,207,417,228,160,269,97,0,0,0,0,0
石川,金額,2852445,221981,562297,993250,382242,223377,334919,134379,0,0,0,0,0
石川,平均価格,1878,1574,2716,2382,1677,1396,1245,1385,-,-,-,-,-
福井,数量,382,0,0,39,205,134,4,0,0,0,0,0,0
福井,金額,667098,0,0,64407,308522,292016,2153,0,0,0,0,0,0
福井,平均価格,1746,-,-,1651,1505,2179,538,-,-,-,-,-,-
長野,数量,54,0,0,0,0,0,0,0,0,0,0,12,42
長野,金額,66739,0,0,0,0,0,0,0,0,0,0,12810,53929
長野,平均価格,1236,-,-,-,-,-,-,-,-,-,-,1068,1284
静岡,数量,201,6,4,45,57,67,7,10,3,0,2,0,0
静岡,金額,933966,126000,84000,169313,164294,272097,5838,101462,4662,0,6300,0,0
静岡,平均価格,4647,21000,21000,3763,2882,4061,834,10146,1554,-,3150,-,-
愛知,数量,87,18,14,5,2,2,4,0,5,0,1,36,0
愛知,金額,167526,29978,26702,9104,5103,6038,5051,0,17640,0,3150,64760,0
愛知,平均価格,1926,1665,1907,1821,2552,3019,1263,-,3528,-,3150,1799,-
三重,数量,7861,1254,737,388,672,1420,1086,785,299,36,98,1073,13
三重,金額,5817039,1161444,582267,407141,605029,975244,567712,564247,223935,53152,76493,577642,22733
三重,平均価格,740,926,790,1049,900,687,523,719,749,1476,781,538,1749
