検索結果／出荷地別取扱実績（ひらめ（国内））,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,
出荷地,出荷地,合計,令和03年1月,令和03年2月,令和03年3月,令和03年4月,令和03年5月,令和03年6月
合計,数量,388421,44030,45881,64620,59084,76495,98311
合計,金額,412554255,60588871,64591404,78343518,66417780,66190962,76421720
合計,平均価格,1062,1376,1408,1212,1124,865,777
北海道,数量,18385,7226,2368,573,599,2272,5347
北海道,金額,14258454,5247794,1994588,568662,576369,1767167,4103874
北海道,平均価格,776,726,842,992,962,778,768
青森,数量,77887,6872,977,1377,8182,22074,38405
青森,金額,67724770,9104533,1262439,1849197,9598271,17984005,27926325
青森,平均価格,870,1325,1292,1343,1173,815,727
岩手,数量,2083,416,83,47,64,742,731
岩手,金額,1755210,572610,85439,44463,60194,544207,448297
岩手,平均価格,843,1376,1029,946,941,733,613
宮城,数量,32411,1515,889,918,187,6760,22142
宮城,金額,27785900,2491496,1313207,1088036,201733,6036488,16654940
宮城,平均価格,857,1645,1477,1185,1079,893,752
秋田,数量,3,0,0,0,3,0,0
秋田,金額,3456,0,0,0,3456,0,0
秋田,平均価格,1152,-,-,-,1152,-,-
山形,数量,1569,43,67,13,721,376,349
山形,金額,1120482,41164,56840,14526,571275,224245,212432
山形,平均価格,714,957,848,1117,792,596,609
福島,数量,56621,4506,5787,4225,8165,18781,15157
福島,金額,50383095,5700392,7229711,4677984,7817949,13724309,11232750
福島,平均価格,890,1265,1249,1107,957,731,741
茨城,数量,27380,5403,4887,4548,2800,5420,4322
茨城,金額,23696676,5376196,5464659,3688812,2522672,3757419,2886918
茨城,平均価格,865,995,1118,811,901,693,668
千葉,数量,93128,4313,7509,32224,29342,13484,6256
千葉,金額,100659793,6906480,9683914,35116449,31596266,12694480,4662204
千葉,平均価格,1081,1601,1290,1090,1077,941,745
東京,数量,22426,2976,3060,3142,4806,4382,4060
東京,金額,31443164,5738105,5349320,5403500,5930307,4669420,4352512
東京,平均価格,1402,1928,1748,1720,1234,1066,1072
神奈川,数量,1013,0,68,329,434,177,5
神奈川,金額,1051773,0,118465,358404,443273,128671,2960
神奈川,平均価格,1038,-,1742,1089,1021,727,592
新潟,数量,2236,6,25,111,894,721,479
新潟,金額,1479488,6264,21946,108259,694426,410544,238049
新潟,平均価格,662,1044,878,975,777,569,497
富山,数量,12,0,0,0,0,12,0
富山,金額,6966,0,0,0,0,6966,0
富山,平均価格,581,-,-,-,-,581,-
石川,数量,72,16,6,0,14,24,12
石川,金額,29338,8165,1944,0,6750,9844,2635
石川,平均価格,407,510,324,-,482,410,220
静岡,数量,3656,854,600,571,576,524,531
静岡,金額,9601483,2252556,1555273,1479515,1491700,1386208,1436231
静岡,平均価格,2626,2638,2592,2591,2590,2645,2705
愛知,数量,708,541,114,0,0,5,48
愛知,金額,920598,720507,177962,0,0,4061,18068
愛知,平均価格,1300,1332,1561,-,-,812,376
三重,数量,2761,573,1450,475,181,33,49
三重,金額,4000144,1029308,1785557,536793,584540,22788,41158
三重,平均価格,1449,1796,1231,1130,3230,691,840
京都,数量,36,0,0,0,21,15,0
京都,金額,28566,0,0,0,15606,12960,0
京都,平均価格,794,-,-,-,743,864,-
兵庫,数量,788,88,125,127,260,152,36
兵庫,金額,1364213,192574,278970,321128,349973,169890,51678
兵庫,平均価格,1731,2188,2232,2529,1346,1118,1436
和歌山,数量,22,2,0,20,0,0,0
和歌山,金額,38979,3590,0,35389,0,0,0
